#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,otf-fira-code,"is the monospace font of LARBS."
,otf-fira-sans,"Fira sans is used in the metropolis beamer theme, which I love"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,pass,"password manager"
A,pass-update,"easier flow to update password"
A,pass-git-helper,"git integration for pass"
,tlp,"Linux Advanced Power Management"
,acpi_call,"module for ThinkPad battery recalibration"
,ethtool,"utility to controll network drivers and hardware"
,smartmontools,"control and monito S.M.A.R.T. enabled ATA and SCSI hard drives"
,htop,"interactive process viewer"
A,slack-desktop,"Slack desktop"
,xf86-video-intel,"Intel graphic driver"
,libva-intel-driver,"hardware acceleration for intel"
,jq,"to format and parse json"
,texlive-core,"to produce beautiful documents"
,texlive-publishers,"LaTeX classes and packages for specific publishers"
,texlive-latexextra,"Large collection of add-on packages for LaTeX"
,texlive-science,"Typesetting for mathematics, natural and computer sciences"
,texlive-pictures,"to draw pictures"
,texlive-fontsextra,"additional fonts for latex"
,xorg-mkfontscale,"Create an index of scalable font files for X"
,ghostscript,"An interpreter for the PostScript language"
,jre-openjdk,"java runtime environment"
,wget,"to download stuff"
,cronie,"cron manager"
,abook,"mail address book"
,firefox,"web browser"
A,passff-host,"host app for the webextension passff"
,openvpn,"to work from home"
,net-tools,"tools for networking"
,networkmanager-openvpn,"manage vpn from network manager"
,libnma,"used by networkmanager"
,nodejs,"for neovim coc autocompletion"
,python-pynvim,"used for neovim"
,rsync,"to copy stuff"
,fwupd,"to upgrade your firmware"
,man-db,"man command"
,man-pages,"manual pages"
,tldr,"man pages are too long"
,darktable,"raw editor"
,pulseaudio,"to route sound"
,pulsemixer,"mixer for pulse"
,yarn,"needed for vim"
,udisks2,"disk automount"
i3lock,"to lock i3"
